V1	clade
PX530556.1	D8
PX530557.1	D8
PX530558.1	D8
PX530559.1	D8
PX530560.1	D8
PX606917.1	D8
PX606918.1	D8
PX606921.1	D8
PX606922.1	D8
PX606923.1	D8
PX606924.1	D8
PX606925.1	D8
PX606926.1	D8
PX606927.1	D8
PX606928.1	D8
PX606929.1	D8
PX606930.1	D8
PX606931.1	D8
PX606932.1	D8
PX606933.1	D8
PX606934.1	D8
PX614698.1	D8
PX614699.1	D8
PX614700.1	D8
PX614701.1	D8
PX614702.1	D8
PX614703.1	D8
PX614704.1	D8
PX614705.1	D8
PX614706.1	D8
PX614707.1	D8
PX614708.1	D8
PX614709.1	D8
PX614710.1	D8
PX614711.1	D8
PX614712.1	D8
PX614713.1	D8
PX614714.1	D8
PX614715.1	D8
PX614716.1	D8
PX614717.1	D8
PX614718.1	D8
PX614719.1	D8
PX614720.1	D8
PX614721.1	D8
PX614722.1	D8
PX614723.1	D8
PX614724.1	D8
PX614725.1	D8
PX614726.1	D8
PX614727.1	D8
PX614728.1	D8
PX614729.1	D8
PX614730.1	D8
PX614731.1	D8
PX614732.1	D8
PX614733.1	D8
PX614734.1	D8
PX614735.1	D8
PX614736.1	D8
PX614737.1	D8
PX614738.1	D8
PX614739.1	D8
PX614740.1	D8
PX614741.1	D8
PX614742.1	D8
PX614743.1	D8
PX614744.1	D8
PX614745.1	D8
PX614746.1	D8
PX614747.1	D8
PX614748.1	D8
PX614749.1	D8
PX614750.1	D8
PX614751.1	D8
PX614752.1	D8
PX614753.1	D8
PX614754.1	D8
PX614755.1	D8
PX653435.1	D8
PX653436.1	D8
PX653437.1	D8
PX653438.1	D8
PX653439.1	D8
PX674018.1	D8
PX674019.1	D8
PX674020.1	D8
PX674022.1	D8
PX674023.1	D8
PX674024.1	D8
PX674025.1	D8
PX674026.1	D8
PX674027.1	D8
PX674028.1	D8
PX674029.1	D8
PX674030.1	D8
PX674031.1	D8
PX674032.1	D8
PX674033.1	D8
PX674034.1	D8
PX674035.1	D8
PX674036.1	D8
PX674037.1	D8
PX674038.1	D8
PX674039.1	D8
PX674040.1	D8
PX674041.1	D8
PX674042.1	D8
PX711575.1	D8
PX711576.1	D8
PX711577.1	D8
PX711578.1	D8
PX711579.1	D8
PX711580.1	D8
PX711581.1	D8
PX711582.1	D8
PX711583.1	D8
PX711584.1	D8
PX711585.1	D8
PX725322.1	B3
PX770016.1	D8
PX770017.1	D8
PX770018.1	D8
PX770019.1	D8
PX770020.1	D8
PX770021.1	D8
PX770022.1	D8
PX770023.1	D8
PX770024.1	D8
PX770025.1	D8
PX770026.1	D8
PX770027.1	D8
PX770028.1	D8
PX770029.1	D8
PX770030.1	D8
PX770031.1	D8
PX770032.1	D8
PX770033.1	D8
PX770034.1	D8
PX770035.1	D8
PX770036.1	D8
PX907802.1	D8
PX925916.1	D8
PX925917.1	D8
PX925918.1	D8
PX925919.1	D8
PX930018.1	D8
PX930019.1	D8
PX930020.1	D8
PX930021.1	D8
PX930022.1	D8
PX930023.1	D8
PX930024.1	D8
PX930025.1	D8
PX930026.1	D8
PX930027.1	D8
PX930028.1	D8
PX930029.1	D8
PX930030.1	D8
PX930031.1	D8
PX930032.1	D8
PX930033.1	D8
PX930034.1	D8
PX930035.1	D8
PX930036.1	D8
PX930038.1	D8
PX930039.1	D8
PX930040.1	D8
PX930041.1	D8
PX930042.1	D8
PX930043.1	D8
PX930044.1	D8
PX930045.1	D8
PX930046.1	D8
PX930047.1	D8
PX930048.1	D8
PX930049.1	D8
PX930050.1	D8
PX930051.1	D8
PX930052.1	D8
PX930053.1	D8
PX930055.1	D8
PX930056.1	D8
PX930059.1	D8
PX930060.1	D8
PX930062.1	D8
PX930063.1	D8
PX930064.1	D8
PX930065.1	D8
PX930067.1	D8
PX930069.1	D8
PX930070.1	D8
PX930071.1	D8
PX930072.1	D8
PX930073.1	D8
PX930074.1	D8
PX930075.1	D8
PX930076.1	D8
PX930077.1	D8
PX930078.1	D8
PX930079.1	D8
PX930080.1	D8
PX930081.1	D8
PX932052.1	D8
PX932053.1	D8
PX932054.1	D8
PX932055.1	D8
PX932056.1	D8
PX932057.1	D8
PX932058.1	D8
PX932059.1	D8
PX932060.1	D8
PX932061.1	D8
PX932062.1	D8
PX932063.1	D8
PX932064.1	D8
PX932066.1	D8
PX932067.1	D8
PX932068.1	D8
PX932070.1	D8
PX932071.1	D8
PX932073.1	D8
PX932075.1	D8
PX932076.1	D8
PX932077.1	D8
PX932078.1	D8
PX932079.1	D8
PX932080.1	D8
PX932082.1	D8
PX932083.1	D8
PX932084.1	D8
PX932085.1	D8
PX932087.1	D8
PX932089.1	D8
PX932091.1	D8
PX932092.1	D8
PX932093.1	D8
PX932097.1	D8
PX932098.1	D8
PX932099.1	D8
PX932100.1	D8
PX932101.1	D8
PX932102.1	D8
PX932104.1	D8
PX932105.1	D8
PX932106.1	D8
PX932107.1	D8
PX932108.1	D8
PX932109.1	D8
PX932110.1	D8
PX932111.1	D8
PX932112.1	D8
PX932113.1	D8
PX932114.1	D8
PX932116.1	D8
PX932117.1	D8
PX932118.1	D8
PX932119.1	D8
PX932120.1	D8
PX932121.1	D8
PX932123.1	D8
PX932124.1	D8
PX932125.1	D8
PX932126.1	D8
PX932127.1	D8
PX932128.1	D8
PX932129.1	D8
PX932130.1	D8
PX932131.1	D8
PX932132.1	D8
PX932133.1	D8
PX932134.1	D8
PX932136.1	D8
PX932137.1	D8
PX932138.1	D8
PX932139.1	D8
PX932140.1	D8
PX932141.1	D8
PX932142.1	D8
PX932143.1	D8
PX932144.1	D8
PX932145.1	D8
PX932147.1	D8
PX932148.1	D8
PX932149.1	D8
PX932150.1	D8
PX932151.1	D8
PX932152.1	D8
PX932153.1	D8
PX932154.1	D8
PX932155.1	D8
PX932156.1	D8
PX932157.1	D8
PX932158.1	D8
PX932159.1	D8
PX932160.1	D8
PX932161.1	D8
PX932162.1	D8
PX932163.1	D8
PX945894.1	D8
PX954425.1	D8
PX979535.1	D8
PX979536.1	D8
PX979537.1	D8
PX979538.1	D8
PX979539.1	D8
PX979540.1	D8
PX979541.1	D8
PX979542.1	D8
PX979543.1	D8
PX982731.1	D8
PX982732.1	D8
PX982733.1	D8
PX982734.1	D8
PX982737.1	D8
PX982738.1	D8
PX982739.1	D8
PX982740.1	D8
PX982741.1	D8
PX982742.1	D8
PX982743.1	D8
PX982744.1	D8
PX982745.1	D8
PX982746.1	D8
PX982747.1	D8
PX982749.1	D8
PX982750.1	D8
PX982751.1	D8
PX982752.1	D8
PX982753.1	D8
PX982754.1	D8
PX982755.1	D8
PX982756.1	D8
PX982757.1	D8
PX982758.1	D8
PX982759.1	D8
PX982760.1	D8
PX982761.1	D8
PX982763.1	D8
PX982765.1	D8
PX982766.1	D8
PX982767.1	D8
PX982770.1	D8
PX982771.1	D8
PX982773.1	D8
PX982774.1	D8
PX982775.1	D8
PX982777.1	D8
PX982779.1	D8
PX982780.1	D8
PX982782.1	D8
PX982784.1	D8
PX982785.1	D8
PX982786.1	D8
PX982789.1	D8
PX982790.1	D8
PX982791.1	D8
PX982792.1	D8
PX982793.1	D8
PX982794.1	D8
PX982795.1	D8
PX982796.1	D8
PX982797.1	D8
PX982798.1	D8
PX982799.1	D8
PX982800.1	D8
PX982801.1	D8
PX982804.1	D8
PX982805.1	D8
PX982806.1	D8
PX982807.1	D8
PX982808.1	D8
PX982809.1	D8
PX982810.1	D8
PX982811.1	D8
PX982812.1	D8
PX982813.1	D8
PX982814.1	D8
PX982815.1	D8
PX982816.1	D8
PX982817.1	D8
PX982818.1	D8
PX982819.1	D8
PX982820.1	D8
PX982821.1	D8
PX982822.1	D8
PX982823.1	D8
PZ017002.1	D8
PZ017003.1	D8
PZ017004.1	D8
PZ017005.1	D8
PZ017006.1	D8
PZ017007.1	D8
PZ017008.1	D8
PZ017009.1	D8
PZ023699.1	D8
PZ023702.1	D8
PZ023704.1	D8
PZ023705.1	D8
PZ023706.1	D8
PZ023708.1	D8
PZ023709.1	D8
PZ023710.1	D8
PZ023712.1	D8
PZ023713.1	D8
PZ023714.1	D8
PZ023715.1	D8
PZ023716.1	D8
PZ023717.1	D8
PZ023718.1	D8
PZ023719.1	D8
PZ023720.1	D8
PZ023721.1	D8
PZ023722.1	D8
PZ023723.1	D8
PZ023724.1	D8
PZ023725.1	D8
PZ023726.1	D8
PZ023727.1	D8
PZ023728.1	D8
PZ023729.1	D8
PZ023730.1	D8
PZ023731.1	D8
PZ023732.1	D8
PZ023733.1	D8
PZ023734.1	D8
PZ023736.1	D8
PZ023737.1	D8
PZ023739.1	D8
PZ023740.1	D8
PZ023741.1	D8
PZ023742.1	D8
PZ023743.1	D8
PZ023744.1	D8
PZ023745.1	D8
PZ023748.1	D8
PZ023749.1	D8
PZ023750.1	D8
PZ023751.1	D8
PZ023752.1	D8
PZ023754.1	D8
PZ023755.1	D8
PZ023756.1	D8
PZ023757.1	D8
PZ023758.1	D8
PZ023760.1	D8
PZ023761.1	D8
PZ023762.1	D8
PZ023763.1	D8
PZ023765.1	D8
PZ023766.1	D8
PZ023767.1	D8
PZ023768.1	D8
PZ023769.1	D8
PZ023770.1	D8
PZ023771.1	D8
PZ023773.1	D8
PZ023774.1	D8
PZ023775.1	D8
PZ023776.1	D8
PZ023777.1	D8
PZ023779.1	D8
PZ023780.1	D8
PZ023781.1	D8
PZ023782.1	D8
PZ023783.1	D8
PZ023784.1	D8
PZ023785.1	D8
PZ023786.1	D8
PZ023787.1	D8
PZ023788.1	D8
PZ023789.1	D8
PZ023790.1	D8
PZ023791.1	D8
PZ023792.1	D8
PZ023793.1	D8
PZ023794.1	D8
PZ023796.1	D8
PZ023797.1	D8
PZ023798.1	D8
PZ023799.1	D8
PZ023800.1	D8
PZ023801.1	D8
PZ023802.1	D8
PZ023803.1	D8
PZ023804.1	D8
PZ023805.1	D8
PZ023806.1	D8
PZ023807.1	D8
PZ023808.1	D8
PZ023809.1	D8
PZ023810.1	D8
PZ023811.1	D8
PZ036799.1	D8
PZ043893.1	D8
PZ043894.1	D8
PZ043898.1	D8
PZ043899.1	D8
PZ043900.1	D8
PZ043902.1	D8
PZ043903.1	D8
PZ043906.1	D8
PZ043908.1	D8
PZ043909.1	D8
PZ043910.1	D8
PZ043911.1	D8
PZ043913.1	D8
PZ043914.1	D8
PZ043915.1	D8
PZ043916.1	D8
PZ043917.1	D8
PZ043918.1	D8
PZ043919.1	D8
PZ043920.1	D8
PZ043921.1	D8
PZ043922.1	D8
PZ043923.1	D8
PZ043924.1	D8
PZ043925.1	D8
PZ043926.1	D8
PZ043928.1	B3
PZ043929.1	D8
PZ043930.1	D8
PZ043931.1	D8
PZ043932.1	D8
PZ043933.1	D8
PZ043934.1	D8
PZ043936.1	D8
PZ043937.1	D8
PZ043938.1	D8
PZ043939.1	D8
PZ043940.1	D8
PZ129666.1	D8
PZ129668.1	D8
PZ129670.1	D8
PZ129671.1	D8
PZ129672.1	D8
PZ129674.1	D8
PZ129676.1	D8
PZ129677.1	D8
PZ129682.1	D8
PZ129683.1	D8
PZ129685.1	D8
PZ129687.1	D8
PZ129688.1	D8
PZ129689.1	D8
PZ129692.1	D8
PZ129694.1	D8
PZ129695.1	D8
PZ129698.1	D8
PZ129699.1	D8
PZ129700.1	D8
PZ129702.1	D8
PZ129703.1	D8
PZ129704.1	D8
PZ129705.1	D8
PZ129706.1	D8
PZ129707.1	D8
PZ129708.1	D8
PZ129709.1	D8
PZ129710.1	D8
PZ129712.1	D8
PZ129713.1	D8
PZ129714.1	D8
PZ129716.1	D8
PZ129717.1	D8
PZ129718.1	D8
PZ129719.1	D8
PZ129720.1	D8
PZ129721.1	D8
PZ129723.1	D8
PZ129724.1	D8
PZ129725.1	D8
PZ129726.1	D8
PZ129727.1	D8
PZ129729.1	D8
PZ129731.1	D8
PZ129732.1	D8
PZ129733.1	D8
PZ129734.1	D8
PZ129735.1	D8
PZ129736.1	D8
PZ129737.1	D8
PZ129738.1	D8
PZ129739.1	D8
PZ129740.1	D8
PZ129741.1	D8
PZ129742.1	D8
PZ129743.1	D8
PZ129745.1	D8
PZ129746.1	D8
PZ129747.1	D8
PZ129748.1	D8
PZ129749.1	D8
PZ129750.1	D8
PZ129751.1	D8
PZ129752.1	D8
PZ129753.1	D8
PZ129754.1	D8
PZ129755.1	D8
PZ129756.1	D8
PZ129757.1	D8
PZ129758.1	D8
PZ129759.1	D8
PZ129760.1	D8
PZ129761.1	D8
PZ129763.1	D8
PZ129764.1	D8
PZ129766.1	D8
PZ129768.1	D8
PZ129769.1	D8
PZ129770.1	D8
PZ129771.1	D8
PZ129772.1	D8
PZ129774.1	D8
PZ129776.1	D8
PZ129777.1	D8
PZ129782.1	D8
PZ129785.1	D8
PZ129786.1	D8
PZ129787.1	D8
PZ129788.1	D8
PZ129789.1	D8
PZ129790.1	D8
PZ129791.1	D8
PZ129792.1	D8
PZ129793.1	D8
PZ129794.1	D8
PZ129795.1	D8
PZ129796.1	D8
PZ129797.1	D8
PZ129798.1	D8
PZ129799.1	D8
PZ129800.1	D8
PZ129801.1	D8
PZ158357.1	B3
PZ161218.1	D8
PZ161220.1	D8
PZ161221.1	D8
PZ161223.1	D8
PZ161224.1	D8
PZ161225.1	D8
PZ161226.1	D8
PZ161227.1	D8
PZ161228.1	D8
PZ161229.1	D8
PZ161230.1	D8
PZ161231.1	D8
PZ161232.1	D8
PZ161233.1	D8
PZ168462.1	D8
PZ168463.1	D8
PZ168465.1	D8
PZ168466.1	D8
PZ168467.1	D8
PZ168468.1	D8
PZ168469.1	D8
PZ168471.1	D8
PZ168472.1	D8
PZ168473.1	D8
PZ168475.1	D8
PZ168476.1	D8
PZ168477.1	D8
PZ168478.1	D8
PZ168479.1	D8
PZ168482.1	D8
PZ180038.1	D8
PZ188349.1	D8
PZ188350.1	D8
PZ188351.1	D8
PZ188352.1	D8
PZ188353.1	D8
PZ188354.1	D8
PZ188355.1	D8
PZ188356.1	D8
PZ188357.1	D8
PZ188358.1	D8
PZ188359.1	D8
PZ188360.1	D8
PZ188361.1	D8
PZ188362.1	D8
PZ188363.1	D8
PZ188364.1	D8
PZ189094.1	B3
PZ194282.1	D8
PZ194283.1	D8
PZ194284.1	D8
PZ194285.1	D8
PZ194286.1	D8
PZ194287.1	D8
PZ194288.1	D8
PZ194289.1	D8
PZ210146.1	D8
PZ225984.1	D8
PZ225985.1	D8
PZ225986.1	D8
PZ225987.1	D8
PZ225988.1	D8
PZ225989.1	D8
PZ225990.1	D8
PZ225991.1	D8
PZ225992.1	D8
PZ225993.1	D8
PZ225994.1	D8
PZ225995.1	D8
PZ225996.1	D8
PZ225997.1	D8
PZ225998.1	D8
PZ225999.1	D8
PZ226000.1	D8
PZ226001.1	D8
PZ226002.1	D8
PZ226003.1	D8
PZ226004.1	D8
PZ226005.1	D8
PZ226006.1	D8
PZ226007.1	D8
PZ226008.1	D8
PZ226009.1	D8
PZ226010.1	D8
PZ226011.1	D8
PZ226012.1	D8
PZ226013.1	D8
PZ226014.1	B3
PZ226015.1	D8
PZ226016.1	D8
PZ226017.1	D8
PZ226018.1	D8
PZ226019.1	D8
PZ226020.1	D8
PZ226021.1	D8
PZ226022.1	D8
PZ226023.1	D8
PZ226024.1	D8
PZ226025.1	D8
PZ226026.1	D8
PZ226027.1	D8
PZ226028.1	D8
PZ226029.1	D8
PZ226030.1	D8
PZ226031.1	D8
PZ226032.1	D8
PZ226033.1	D8
PZ226034.1	D8
PZ226035.1	D8
PZ226036.1	D8
PZ226037.1	D8
PZ226038.1	D8
PZ226039.1	D8
PZ226040.1	D8
PZ226041.1	D8
PZ226042.1	D8
PZ226043.1	D8
PZ226044.1	D8
PZ226045.1	D8
PZ226046.1	D8
PZ226047.1	D8
PZ226048.1	D8
PZ226049.1	D8
PZ226050.1	D8
PZ226051.1	D8
PZ226052.1	D8
PZ226053.1	D8
PZ226054.1	D8
PZ226055.1	D8
PZ226056.1	D8
PZ226057.1	D8
PZ226058.1	D8
PZ226059.1	D8
PZ226060.1	D8
PZ226061.1	D8
PZ226062.1	D8
PZ226063.1	D8
PZ226064.1	D8
PZ226065.1	D8
PZ226066.1	D8
PZ226067.1	D8
PZ226068.1	D8
PZ226069.1	D8
PZ226070.1	D8
PZ226071.1	D8
PZ226072.1	D8
PZ226073.1	D8
PZ226074.1	D8
PZ226075.1	D8
PZ226076.1	D8
PZ226077.1	D8
PZ226078.1	D8
PZ226079.1	D8
PZ226080.1	D8
PZ226081.1	D8
PZ226082.1	D8
PZ226083.1	D8
PZ226084.1	D8
PZ226085.1	D8
PZ226086.1	D8
PZ226087.1	D8
PZ226088.1	D8
PZ226089.1	D8
PZ226090.1	D8
PZ226091.1	D8
PZ226092.1	D8
PZ226093.1	D8
PZ226094.1	D8
PZ226095.1	D8
PZ226096.1	D8
PZ226097.1	D8
PZ226098.1	D8
PZ226099.1	D8
PZ226100.1	D8
PZ226101.1	D8
PZ226102.1	D8
PZ226103.1	D8
PZ226104.1	D8
PZ226105.1	D8
PZ226106.1	D8
PZ226107.1	D8
PZ226108.1	D8
PZ226109.1	D8
PZ226110.1	D8
PZ226122.1	D8
PZ226123.1	D8
PZ226124.1	D8
PZ226125.1	D8
PZ226126.1	D8
PZ226127.1	D8
PZ226128.1	D8
PZ226129.1	D8
PZ226130.1	D8
PZ226131.1	D8
PZ226132.1	D8
PZ226133.1	D8
PZ226134.1	D8
PZ226135.1	D8
PZ226136.1	D8
PZ226137.1	D8
PZ226138.1	D8
PZ226139.1	D8
PZ226140.1	D8
PZ226141.1	D8
PZ226142.1	D8
PZ226143.1	D8
PZ226144.1	D8
PZ226145.1	D8
PZ226146.1	D8
PZ226147.1	D8
PZ226148.1	D8
PZ226152.1	D8
PZ226155.1	D8
PZ226159.1	D8
PZ226160.1	D8
PZ226161.1	D8
PZ226162.1	D8
PZ226163.1	D8
PZ226164.1	D8
PZ226165.1	D8
PZ226167.1	D8
PZ226168.1	D8
PZ226169.1	D8
PZ226170.1	D8
PZ226171.1	D8
PZ226172.1	D8
PZ226173.1	D8
PZ226174.1	D8
PZ226175.1	D8
PZ226176.1	D8
PZ226177.1	D8
PZ226178.1	D8
PZ226179.1	D8
PZ226180.1	D8
PZ226181.1	D8
PZ226182.1	D8
PZ226183.1	D8
PZ226184.1	D8
PZ226185.1	D8
PZ226186.1	D8
PZ226187.1	D8
PZ226188.1	D8
PZ226189.1	D8
PZ226190.1	D8
PZ226191.1	D8
PZ226192.1	D8
PZ226193.1	D8
PZ235048.1	D8
PZ235049.1	D8
PZ235050.1	D8
PZ235051.1	D8
PZ235052.1	D8
PZ252730.1	D8
PZ252731.1	D8
PZ252732.1	D8
PZ252733.1	D8
PZ252734.1	D8
PZ252735.1	D8
PZ252736.1	D8
PZ252737.1	D8
PZ252738.1	D8
PZ252739.1	D8
PZ252740.1	D8
PZ252742.1	D8
PZ252743.1	D8
PZ252744.1	D8
PZ252745.1	D8
PZ252746.1	D8
PZ252747.1	D8
PZ252748.1	D8
PZ252750.1	D8
PZ259696.1	D8
PZ264127.1	D8
PZ264128.1	D8
PZ280678.1	D8
PZ280679.1	D8
PZ280680.1	D8
PZ285119.1	D8
PZ285121.1	D8
PZ285122.1	D8
PZ285123.1	D8
PZ285124.1	D8
PZ285125.1	D8
PZ285126.1	D8
PZ285127.1	D8
PZ285128.1	D8
PZ285129.1	D8
PZ285130.1	D8
PZ285131.1	D8
PZ285132.1	D8
PZ285133.1	D8
PZ285134.1	D8
PZ285135.1	D8
PZ285136.1	D8
PZ285137.1	D8
PZ319213.1	D8
PZ319214.1	D8
PZ319216.1	D8
PZ319218.1	D8
PZ319219.1	D8
PZ319220.1	D8
PZ319221.1	D8
PZ319222.1	D8
PZ319224.1	D8
PZ319225.1	D8
PZ319226.1	D8
PZ319227.1	D8
PZ319228.1	D8
PZ319229.1	D8
PZ319230.1	D8
PZ319231.1	D8
PZ319232.1	D8
PZ319233.1	D8
PZ319234.1	D8
PZ339700.1	D8
PZ339701.1	D8
PZ339702.1	D8
PZ339703.1	D8
PZ339705.1	D8
PZ339706.1	D8
PZ339707.1	D8
PZ339708.1	D8
PZ339709.1	D8
PZ339710.1	D8
PZ339711.1	D8
PZ339712.1	D8
PZ339713.1	D8
PZ339714.1	D8
PZ339715.1	D8
PZ339716.1	D8
PZ339717.1	D8
PZ339718.1	D8
